| Model                                                             | Status   |
| TheBloke/CodeLlama-7B-Python-GPTQ                                 | ❌ FAIL   |
| TheBloke/CodeLlama-7B-Instruct-GPTQ                               | ❌ FAIL   |
| TheBloke/CodeLlama-13B-Instruct-GGUF                              | ❌ FAIL   |
| TheBloke/CodeLlama-7B-Python-GGUF                                 | ❌ FAIL   |
| TheBloke/CodeLlama-7B-GGUF                                        | ❌ FAIL   |
| TheBloke/CodeLlama-7B-Instruct-GGUF                               | ❌ FAIL   |
| TheBloke/Nous-Puffin-70B-GPTQ                                     | ❌ FAIL   |
| TheBloke/Nous-Hermes-Llama2-70B-GPTQ                              | ❌ FAIL   |
| TheBloke/EverythingLM-13b-V2-16K-GPTQ                             | ❌ FAIL   |
| TheBloke/Llama-2-7B-32K-Instruct-GPTQ                             | ❌ FAIL   |
| TheBloke/Zarablend-L2-7B-GPTQ                                     | ❌ FAIL   |
| TheBloke/orca_mini_v3_70B-GPTQ                                    | ❌ FAIL   |
| TheBloke/GodziLLa2-70B-GPTQ                                       | ❌ FAIL   |
| TheBloke/LlongOrca-7B-16K-GPTQ                                    | ❌ FAIL   |
| TheBloke/EverythingLM-13B-16K-GPTQ                                | ❌ FAIL   |
| TheBloke/Llama-2-13B-German-Assistant-v4-GPTQ                     | ❌ FAIL   |
| TheBloke/OpenOrca-Platypus2-13B-GPTQ                              | ❌ FAIL   |
| TheBloke/WizardMath-13B-V1.0-GPTQ                                 | ❌ FAIL   |
| TheBloke/WizardMath-7B-V1.0-GPTQ                                  | ❌ FAIL   |
| TheBloke/Platypus2-70B-Instruct-GPTQ                              | ❌ FAIL   |
| TheBloke/Stable-Platypus2-13B-GPTQ                                | ❌ FAIL   |
| TheBloke/AlpacaCielo2-7B-8K-GPTQ                                  | ❌ FAIL   |
| TheBloke/orca_mini_v3_7B-GPTQ                                     | ❌ FAIL   |
| TheBloke/WizardLM-70B-V1.0-GPTQ                                   | ❌ FAIL   |
| TheBloke/MythoMix-L2-13B-GPTQ                                     | ❌ FAIL   |
| TheBloke/Dolphin-Llama2-7B-GPTQ                                   | ❌ FAIL   |
| TheBloke/WizardLM-1.0-Uncensored-Llama2-13B-GPTQ                  | ❌ FAIL   |
| TheBloke/Chronos-Beluga-v2-13B-GPTQ                               | ❌ FAIL   |
| TheBloke/Llama-2-70B-OASST-1-200-GPTQ                             | ❌ FAIL   |
| TheBloke/HermesLimaRP-L2-7B-GPTQ                                  | ❌ FAIL   |
| TheBloke/Airoboros-L2-70B-GPT4-m2.0-GPTQ                          | ❌ FAIL   |
| TheBloke/Vigogne-2-7B-Chat-GPTQ                                   | ❌ FAIL   |
| TheBloke/llama2_70b_chat_uncensored-GPTQ                          | ❌ FAIL   |
| TheBloke/vicuna-13B-v1.5-GPTQ                                     | ❌ FAIL   |
| TheBloke/vicuna-7B-v1.5-GPTQ                                      | ❌ FAIL   |
| TheBloke/vicuna-7B-v1.5-16K-GPTQ                                  | ❌ FAIL   |
| TheBloke/OpenOrcaxOpenChat-Preview2-13B-GPTQ                      | ❌ FAIL   |
| TheBloke/vicuna-13B-v1.5-16K-GPTQ                                 | ❌ FAIL   |
| TheBloke/airoboros-l2-70B-GPT4-2.0-GPTQ                           | ❌ FAIL   |
| TheBloke/airoboros-l2-7B-gpt4-m2.0-GPTQ                           | ❌ FAIL   |
| TheBloke/CodeUp-Llama-2-13B-Chat-HF-GPTQ                          | ❌ FAIL   |
| TheBloke/airoboros-l2-7B-gpt4-2.0-GPTQ                            | ❌ FAIL   |
| TheBloke/airoboros-l2-13b-gpt4-m2.0-GPTQ                          | ❌ FAIL   |
| TheBloke/Upstage-Llama-2-70B-instruct-v2-GPTQ                     | ❌ FAIL   |
| TheBloke/airoboros-l2-13b-gpt4-2.0-GPTQ                           | ❌ FAIL   |
| TheBloke/Vigogne-2-13B-Instruct-GPTQ                              | ❌ FAIL   |
| TheBloke/StableBeluga-13B-GPTQ                                    | ❌ FAIL   |
| TheBloke/OpenAssistant-Llama2-13B-Orca-8K-3319-GPTQ               | ❌ FAIL   |
| TheBloke/WizardLM-13B-V1.2-GPTQ                                   | ❌ FAIL   |
| TheBloke/airoboros-l2-70B-gpt4-1.4.1-GPTQ                         | ❌ FAIL   |
| TheBloke/llama2-7b-chat-codeCherryPop-qLoRA-GPTQ                  | ❌ FAIL   |
| TheBloke/llama-2-70b-Guanaco-QLoRA-GPTQ                           | ❌ FAIL   |
| TheBloke/llama-2-13B-Guanaco-QLoRA-GPTQ                           | ❌ FAIL   |
| TheBloke/llama-2-7B-Guanaco-QLoRA-GPTQ                            | ❌ FAIL   |
| TheBloke/Luna-AI-Llama2-Uncensored-GPTQ                           | ❌ FAIL   |
| TheBloke/Llama-2-70B-GPTQ                                         | ❌ FAIL   |
| TheBloke/Llama-2-7B-GPTQ                                          | ❌ FAIL   |
| TheBloke/airochronos-33B-GPTQ                                     | ❌ FAIL   |
| TheBloke/WizardLM-33B-V1.0-Uncensored-GPTQ                        | ❌ FAIL   |
| TheBloke/guanaco-65B-GPTQ                                         | ❌ FAIL   |
| TheBloke/guanaco-33B-GPTQ                                         | ❌ FAIL   |
| TheBloke/Wizard-Vicuna-7B-Uncensored-GPTQ                         | ❌ FAIL   |
| hpcai-tech/Colossal-LLaMA-2-7b-base                               | ❌ FAIL   |
| dicta-il/dictalm-7b-instruct                                      | ❌ FAIL   |
| anzorq/m2m100_418M_ft_ru-kbd_44K                                  | ❌ FAIL   |
| Sao10K/Euryale-L2-70B                                             | ❌ FAIL   |
| TigerResearch/tigerbot-70b-chat                                   | ❌ FAIL   |
| Qwen/Qwen-VL-Chat                                                 | ❌ FAIL   |
| NousResearch/Nous-Puffin-70B                                      | ❌ FAIL   |
| firqaaa/Madina-7b-chat-QLoRA-8k                                   | ❌ FAIL   |
| openchat/openchat_v3.1                                            | ❌ FAIL   |
| mosaicml/mpt-7b                                                   | ❌ FAIL   |
| internlm/internlm-7b                                              | ❌ FAIL   |
| internlm/internlm-chat-7b-v1_1                                    | ❌ FAIL   |
| internlm/internlm-chat-7b-8k                                      | ❌ FAIL   |
| internlm/internlm-chat-7b                                         | ❌ FAIL   |
| cerebras/btlm-3b-8k-base                                          | ❌ FAIL   |
| elliotthwang/Elliott-Chinese-LLaMa-GPTQ-V1.0                      | ❌ FAIL   |
| Open-Orca/oo-phi-1_5                                              | ❌ FAIL   |
| haoranxu/ALMA-7B                                                  | ❌ FAIL   |
| haoranxu/ALMA-7B-Pretrain                                         | ❌ FAIL   |
